Code,Name,Latitude,Longitude,Type
TUIN,Tuskegee Institute National Historic Site,32.4296,-85.7049,National Historic Site
INDE,Independence National Historical Park,39.9475,-75.1479,National Historical Park
TONT,Tonto National Monument,33.6484,-111.114,National Monument
STLI,Statue Of Liberty National Monument,40.6957,-74.0423,National Monument
ANJO,Andrew Johnson National Historic Site,36.1562,-82.8371,National Historic Site
TICA,Timpanogos Cave National Monument,40.4404,-111.709,National Monument
THST,Thomas Stone National Historic Site,38.5293,-77.0378,National Historic Site
WAPA,War In The Pacific National Historical Park,13.438,144.692,National Historical Park
THRO,Theodore Roosevelt National Park,47.1778,-103.43,National Park
THRI,Theodore Roosevelt Inaugural National Historic Site,42.9015,-78.8725,National Historic Site
THRB,Theodore Roosevelt Birthplace National Historic Site,40.7386,-73.989,National Historic Site
THKO,Thaddeus Kosciuszko National Memorial,39.9435,-75.1473,National Memorial
GREE,Greenbelt Park,38.9833,-76.8972,Park
SUCR,Sunset Crater Volcano National Monument,35.3711,-111.51,National Monument
STRI,Stones River National Battlefield,35.8761,-86.4308,National Battlefield
GEGR,General Grant National Memorial,40.8133,-73.9633,National Memorial
STEA,Steamtown National Historic Site,41.4076,-75.6704,National Historic Site
PINN,Pinnacles National Park,36.4903,-121.181,National Park
MALU,"Martin Luther King, Jr. National Historical Park",33.7562,-84.3726,National Historical Park
GUIS,Gulf Islands National Seashore,30.2992,-87.7506,National Seashore
TAPR,Tallgrass Prairie National Preserve,38.4402,-96.5671,National Preserve
ELRO,Eleanor Roosevelt National Historic Site,41.7621,-73.8989,National Historic Site
SLBE,Sleeping Bear Dunes National Lakeshore,44.9284,-86.0271,National Lakeshore
SHEN,Shenandoah National Park,38.4924,-78.4691,National Park
STON,Stonewall National Monument,40.7338,-74.0007,National Monument
AGFO,Agate Fossil Beds National Monument,42.4217,-103.754,National Monument
SCBL,Scotts Bluff National Monument,41.8346,-103.707,National Monument
HOCU,Hopewell Culture National Historical Park,39.3159,-83.0805,National Historical Park
SAPA,Saint Paul's Church National Historic Site,40.8928,-73.8258,National Historic Site
SAMA,Salem Maritime National Historic Site,42.5202,-70.8864,National Historic Site
SAJH,San Juan Island National Historical Park,48.5124,-123.061,National Historical Park
WIHO,William Howard Taft National Historic Site,39.1197,-84.5076,National Historic Site
SAIR,Saugus Iron Works National Historic Site,42.4683,-71.0077,National Historic Site
NABR,Natural Bridges National Monument,37.6045,-110.002,National Monument
SAGA,Saint-Gaudens National Historic Site,43.4997,-72.3733,National Historic Site
SARA,Saratoga National Historical Park,42.9952,-73.6339,National Historical Park
SAAN,San Antonio Missions National Historical Park,29.3126,-98.429,National Historical Park
RORI,Rosie the Riveter WWII Home Front National Historical Park,37.91,-122.36,National Historical Park
RIGR,Rio Grande Wild & Scenic River,29.5274,-102.598,Wild & Scenic River
CAKR,Cape Krusenstern National Monument,67.415,-163.504,National Monument
FOMA,Fort Matanzas National Monument,29.7121,-81.2357,National Monument
VALL,Valles Caldera National Preserve,35.9168,-106.52,National Preserve
MISS,Mississippi National River and Recreation Area,44.8745,-93.0469,National River and Recreation Area
BOAF,Boston African American National Historic Site,42.3591,-71.0676,National Historic Site
CAVO,Capulin Volcano National Monument,36.7817,-103.971,National Monument
GRPO,Grand Portage National Monument,47.9929,-89.7557,National Monument
WHMI,Whitman Mission National Historic Site,46.0412,-118.463,National Historic Site
EVER,Everglades National Park,25.3729,-80.882,National Park
BRVB,Brown v. Board of Education National Historic Site,39.0379,-95.6761,National Historic Site
ALFL,Alibates Flint Quarries National Monument,35.582,-101.672,National Monument
DRTO,Dry Tortugas National Park,24.6488,-82.8718,National Park
PAAL,Palo Alto Battlefield National Historical Park,26.0239,-97.463,National Historical Park
CARL,Carl Sandburg Home National Historic Site,35.2682,-82.4511,National Historic Site
SITK,Sitka National Historical Park,57.0472,-135.316,National Historical Park
BISC,Biscayne National Park,25.4906,-80.2102,National Park
FOPO,Fort Point National Historic Site,37.8084,-122.474,National Historic Site
FOLS,Fort Larned National Historic Site,38.1805,-99.2184,National Historic Site
HOBE,Horseshoe Bend National Military Park,32.9767,-85.7341,National Military Park
COLO,Colonial National Historical Park,37.2282,-76.62,National Historical Park
CANA,Canaveral National Seashore,28.7864,-80.7542,National Seashore
CLBA,Clara Barton National Historic Site,38.9676,-77.1401,National Historic Site
CUGA,Cumberland Gap National Historical Park,36.625,-83.6114,National Historical Park
CHSC,Little Rock Central High School National Historic Site,34.7369,-92.2999,National Historic Site
HAFE,Harpers Ferry National Historical Park,39.3187,-77.7409,National Historical Park
PIPE,Pipestone National Monument,44.0135,-96.3248,National Monument
BIHO,Big Hole National Battlefield,45.6465,-113.646,National Battlefield
BOWA,Booker T Washington National Monument,37.1152,-79.7319,National Monument
CONG,Congaree National Park,33.7919,-80.7487,National Park
GOGA,Golden Gate National Recreation Area,37.8598,-122.601,National Recreation Area
FOBU,Fossil Butte National Monument,41.8564,-110.762,National Monument
BLCA,Black Canyon Of The Gunnison National Park,38.5778,-107.724,National Park
MORR,Morristown National Historical Park,40.7651,-74.5346,National Historical Park
CAVE,Carlsbad Caverns National Park,32.1409,-104.553,National Park
CHPI,Charles Pinckney National Historic Site,32.8458,-79.8249,National Historic Site
BEPA,Belmont-Paul Women's Equality National Monument,38.8923,-77.0038,National Monument
OCMU,Ocmulgee National Monument,32.8382,-83.6022,National Monument
PEVI,Perry's Victory & International Peace Memorial,41.6545,-82.8116,Memorial
BLUE,Bluestone National Scenic River,37.5658,-80.9837,National Scenic River
FODO,Fort Donelson National Battlefield,36.4902,-87.9245,National Battlefield
DETO,Devils Tower National Monument,44.5906,-104.716,National Monument
CHIR,Chiricahua National Monument,32.0121,-109.342,National Monument
LAKE,Lake Mead National Recreation Area,35.9662,-114.347,National Recreation Area
BITH,Big Thicket National Preserve,30.4236,-94.3385,National Preserve
EDIS,Thomas Edison National Historical Park,40.7855,-74.2382,National Historical Park
TIMU,Timucuan Ecological & Historic Preserve,30.4725,-81.4995,Ecological & Historic Preserve
BADL,Badlands National Park,43.6858,-102.483,National Park
WRST,Wrangell - St Elias National Park & Preserve,61.4182,-142.603,National Park & Preserve
CRMO,Craters Of The Moon National Monument & Preserve,43.2035,-113.479,National Monument & Preserve
CACL,Castle Clinton National Monument,40.7035,-74.0168,National Monument
DESO,De Soto National Memorial,27.5227,-82.6434,National Memorial
MOCA,Montezuma Castle National Monument,34.6224,-111.815,National Monument
DEWA,Delaware Water Gap National Recreation Area,41.1279,-74.9475,National Recreation Area
HSTR,Harry S Truman National Historic Site,38.9271,-94.5162,National Historic Site
SAFR,San Francisco Maritime National Historical Park,37.8101,-122.424,National Historical Park
EFMO,Effigy Mounds National Monument,43.081,-91.1969,National Monument
ROCR,Rock Creek Park,38.9513,-77.05,Park
CABR,Cabrillo National Monument,32.6723,-117.242,National Monument
DINO,Dinosaur National Monument,40.5074,-108.933,National Monument
CHIC,Chickasaw National Recreation Area,34.4605,-97.0072,National Recreation Area
CRLA,Crater Lake National Park,42.9407,-122.134,National Park
DEPO,Devils Postpile National Monument,37.6153,-119.087,National Monument
JOFL,Johnstown Flood National Memorial,40.3458,-78.7745,National Memorial
GOIS,Governors Island National Monument,40.6916,-74.0167,National Monument
TUPE,Tupelo National Battlefield,34.2556,-88.7371,National Battlefield
ARHO,"Arlington House, The Robert  E. Lee Memorial",38.8822,-77.0735,
GWMP,George Washington Memorial Parkway,38.8545,-77.0853,Memorial Parkway
EUON,Eugene O'Neill National Historic Site,37.826,-122.027,National Historic Site
CECH,C\u00e9sar E. Ch\u00e1vez National Monument,35.2273,-118.562,National Monument
WRBR,Wright Brothers National Memorial,36.0164,-75.67,National Memorial
CHIS,Channel Islands National Park,33.9868,-119.911,National Park
CHCU,Chaco Culture National Historical Park,36.0396,-107.956,National Historical Park
GLAC,Glacier National Park,48.6841,-113.801,National Park
WWII,World War II Memorial,38.8892,-77.0404,
SACR,Saint Croix Island International Historic Site,45.1286,-67.1336,International Historic Site
EISE,Eisenhower National Historic Site,39.7958,-77.2651,National Historic Site
FEHA,Federal Hall National Memorial,40.7073,-74.0103,National Memorial
REDW,Redwood National and State Parks,41.3724,-124.032,National and State Parks
GLCA,Glen Canyon National Recreation Area,37.5184,-110.772,National Recreation Area
GUMO,Guadalupe Mountains National Park,31.923,-104.886,National Park
HEHO,Herbert Hoover National Historic Site,41.6679,-91.3523,National Historic Site
ANDE,Andersonville National Historic Site,32.1983,-84.1299,National Historic Site
HALE,Haleakala National Park,20.7069,-156.159,National Park
DENA,Denali National Park & Preserve,63.2978,-151.053,National Park & Preserve
TUMA,Tumac\u00e1cori National Historical Park,31.5612,-111.039,National Historical Park
ULSG,Ulysses S Grant National Historic Site,38.5518,-90.3517,National Historic Site
FOMC,Fort McHenry National Monument and Historic Shrine,39.264,-76.5804,National Monument and Historic Shrine
FOFR,Fort Frederica National Monument,31.2215,-81.3945,National Monument
TUZI,Tuzigoot National Monument,34.773,-112.028,National Monument
BUIS,Buck Island Reef National Monument,17.8103,-64.6222,National Monument
GATE,Gateway National Recreation Area,40.5654,-73.9171,National Recreation Area
FOLA,Fort Laramie National Historic Site,42.203,-104.546,National Historic Site
CARI,Cane River Creole National Historical Park,31.6541,-93.0013,National Historical Park
FODA,Fort Davis National Historic Site,30.5993,-103.896,National Historic Site
WABA,Washita Battlefield National Historic Site,35.6208,-99.7045,National Historic Site
FIIS,Fire Island National Seashore,40.6967,-73.0001,National Seashore
SAGU,Saguaro National Park,32.2091,-110.757,National Park
VAFO,Valley Forge National Historical Park,40.1005,-75.4458,National Historical Park
FOSM,Fort Smith National Historic Site,35.3883,-94.4313,National Historic Site
VIIS,Virgin Islands National Park,18.3428,-64.7419,National Park
SPAR,Springfield Armory National Historic Site,42.1086,-72.5797,National Historic Site
LAMR,Lake Meredith National Recreation Area,35.6193,-101.682,National Recreation Area
ANIA,Aniakchak National Monument & Preserve,56.8532,-157.554,National Monument & Preserve
SAPU,Salinas Pueblo Missions National Monument,34.3542,-106.205,National Monument
VIVE,Vietnam Veterans Memorial,38.891,-77.0477,Memorial
FRHI,Friendship Hill National Historic Site,39.7754,-79.925,National Historic Site
VAMA,Vanderbilt Mansion National Historic Site,41.797,-73.9421,National Historic Site
JELA,Jean Lafitte National Historical Park and Preserve,29.8174,-90.1402,National Historical Park and Preserve
YELL,Yellowstone National Park,44.5982,-110.547,National Park
BOST,Boston National Historical Park,42.3696,-71.0554,National Historical Park
WICA,Wind Cave National Park,43.5801,-103.439,National Park
WHHO,President's Park (White House),38.8954,-77.0365,
FOBO,Fort Bowie National Historic Site,32.1493,-109.451,National Historic Site
CACH,Canyon de Chelly National Monument,36.1432,-109.339,National Monument
ZION,Zion National Park,37.2984,-113.027,National Park
WOTR,Wolf Trap National Park for the Performing Arts,38.9385,-77.2651,
GRBA,Great Basin National Park,38.9462,-114.258,National Park
LAVO,Lassen Volcanic National Park,40.4935,-121.408,National Park
FOUS,Fort Union Trading Post National Historic Site,48.0008,-104.038,National Historic Site
LARO,Lake Roosevelt National Recreation Area,48.1715,-118.351,National Recreation Area
GRTE,Grand Teton National Park,43.8185,-110.705,National Park
FOUN,Fort Union National Monument,35.907,-105.015,National Monument
HAGR,Hamilton Grange National Memorial,40.8187,-73.9488,National Memorial
COWP,Cowpens National Battlefield,35.1316,-81.8094,National Battlefield
GOSP,Golden Spike National Historic Site,41.6195,-112.524,National Historic Site
KOVA,Kobuk Valley National Park,67.3563,-159.2,National Park
BICA,Bighorn Canyon National Recreation Area,45.1315,-108.144,National Recreation Area
FOVA,Fort Vancouver National Historic Site,45.6223,-122.662,National Historic Site
WICL,President William Jefferson Clinton Birthplace Home National Historic Site,33.6676,-93.5964,National Historic Site
YUCH,Yukon - Charley Rivers National Preserve,65.0936,-142.796,National Preserve
FOWA,Fort Washington Park,38.7088,-77.0217,Park
VOYA,Voyageurs National Park,48.4837,-92.8383,National Park
WHIS,Whiskeytown National Recreation Area,40.6136,-122.602,National Recreation Area
FRLA,Frederick Law Olmsted National Historic Site,42.3242,-71.132,National Historic Site
WACA,Walnut Canyon National Monument,35.1682,-111.502,National Monument
VICK,Vicksburg National Military Park,32.3621,-90.8503,National Military Park
GRKO,Grant-Kohrs Ranch National Historic Site,46.4136,-112.747,National Historic Site
GRSA,Great Sand Dunes National Park & Preserve,37.7926,-105.592,National Park & Preserve
MANA,Manassas National Battlefield Park,38.8171,-77.5353,National Battlefield Park
WORI,Women's Rights National Historical Park,42.9082,-76.8166,National Historical Park
FOPU,Fort Pulaski National Monument,32.0308,-80.9336,National Monument
WACO,Waco Mammoth National Monument,31.6047,-97.1761,National Monument
GEWA,George Washington Birthplace National Monument,38.1936,-76.9208,National Monument
GLBA,Glacier Bay National Park & Preserve,58.8009,-136.841,National Park & Preserve
MOJA,Mojave National Preserve,35.1249,-115.517,National Preserve
GICL,Gila Cliff Dwellings National Monument,33.2272,-108.271,National Monument
SAJU,San Juan National Historic Site,18.4687,-66.1185,National Historic Site
WAMO,Washington Monument,38.8887,-77.0355,
NERI,New River Gorge National River,37.8688,-80.9996,National River
GUCO,Guilford Courthouse National Military Park,36.1323,-79.8425,National Military Park
FRDE,Franklin Delano Roosevelt Memorial,38.8834,-77.0431,
FRDO,Frederick Douglass National Historic Site,38.863,-76.9851,National Historic Site
FOTH,Ford's Theatre,38.8967,-77.0258,
ADAM,Adams National Historical Park,42.2554,-71.0116,National Historical Park
WHSA,White Sands National Monument,32.7791,-106.333,National Monument
BUFF,Buffalo National River,36.0412,-92.9076,National River
FILA,First Ladies National Historic Site,40.7969,-81.3758,National Historic Site
DAAV,Dayton Aviation Heritage National Historical Park,39.7894,-84.1044,National Historical Park
FOSC,Fort Scott National Historic Site,37.8436,-94.7043,National Historic Site
NATR,Natchez Trace Parkway,33.78,-89.0309,Parkway
EBLA,Ebey's Landing National Historical Reserve,48.214,-122.688,National Historical Reserve
CUIS,Cumberland Island National Seashore,30.8586,-81.4525,National Seashore
JAGA,James A Garfield National Historic Site,41.6649,-81.3509,National Historic Site
BAND,Bandelier National Monument,35.779,-106.332,National Monument
GRSM,Great Smoky Mountains National Park,35.6012,-83.5082,National Park
UPDE,Upper Delaware Scenic & Recreational River,41.6617,-75.0386,Scenic & Recreational River
SHIL,Shiloh National Military Park,35.1385,-88.3421,National Military Park
MAWA,Maggie L Walker National Historic Site,37.5478,-77.4375,National Historic Site
CALO,Cape Lookout National Seashore,34.8268,-76.3432,National Seashore
DEVA,Death Valley National Park,36.4875,-117.134,National Park
CHRI,Christiansted National Historic Site,17.7377,-64.7291,National Historic Site
HOFU,Hopewell Furnace National Historic Site,40.2061,-75.7677,National Historic Site
KAHO,Kaloko-Honokohau National Historical Park,19.6808,-156.031,National Historical Park
ARCH,Arches National Park,38.7226,-109.586,National Park
ELMO,El Morro National Monument,35.039,-108.346,National Monument
PIRO,Pictured Rocks National Lakeshore,46.5644,-86.3163,National Lakeshore
RUCA,Russell Cave National Monument,34.974,-85.8156,National Monument
BIBE,Big Bend National Park,29.2982,-103.23,National Park
FOSU,Fort Sumter National Monument,32.7565,-79.8707,National Monument
CACO,Cape Cod National Seashore,41.9238,-70.0432,National Seashore
HAVO,Hawai'i Volcanoes National Park,19.3355,-155.47,National Park
CASA,Castillo de San Marcos National Monument,29.8979,-81.3122,National Monument
CAGR,Casa Grande Ruins National Monument,32.997,-111.533,National Monument
GAAR,Gates Of The Arctic National Park & Preserve,67.7596,-153.292,National Park & Preserve
BELA,Bering Land Bridge National Preserve,65.9609,-164.409,National Preserve
CAWO,Carter G. Woodson Home National Historic Site,38.9109,-77.0243,National Historic Site
CAHA,Cape Hatteras National Seashore,35.4137,-75.6506,National Seashore
PISC,Piscataway Park,38.6868,-77.0666,Park
CANY,Canyonlands National Park,38.2456,-109.88,National Park
CARE,Capitol Reef National Park,38.2822,-111.247,National Park
CORO,Coronado National Memorial,31.349,-110.256,National Memorial
FRSP,Fredericksburg & Spotsylvania National Military Park,38.2828,-77.647,National Military Park
COLM,Colorado National Monument,39.0505,-108.692,National Monument
CHAM,Chamizal National Memorial,31.7673,-106.454,National Memorial
NOCA,North Cascades National Park,48.7117,-121.207,National Park
CHAT,Chattahoochee River National Recreation Area,33.997,-84.2895,National Recreation Area
LIBO,Lincoln Boyhood National Memorial,38.1182,-86.9966,National Memorial
CHYO,Charles Young Buffalo Soldiers National Monument,39.7082,-83.8933,National Monument
APCO,Appomattox Court House National Historical Park,37.3802,-78.7986,National Historical Park
CURE,Curecanti National Recreation Area,38.4658,-107.33,National Recreation Area
CUVA,Cuyahoga Valley National Park,41.2609,-81.5712,National Park
FONE,Fort Necessity National Battlefield,39.8131,-79.5903,National Battlefield
FORA,Fort Raleigh National Historic Site,35.9328,-75.715,National Historic Site
GERO,George Rogers Clark National Historical Park,38.6791,-87.5355,National Historical Park
HAMP,Hampton National Historic Site,39.4175,-76.5878,National Historic Site
CHOH,Chesapeake & Ohio Canal National Historical Park,39.391,-77.8976,National Historical Park
NISI,Ninety Six National Historic Site,34.1427,-82.0164,National Historic Site
MIMI,Minuteman Missile National Historic Site,43.8956,-102.027,National Historic Site
HAFO,Hagerman Fossil Beds National Monument,42.7907,-114.944,National Monument
HOFR,Home Of Franklin D Roosevelt National Historic Site,41.7664,-73.9252,National Historic Site
HOME,Homestead National Monument of America,40.288,-96.8339,National Monument of America
JOFI,John Fitzgerald Kennedy National Historic Site,42.3469,-71.1232,National Historic Site
SAHI,Sagamore Hill National Historic Site,40.8858,-73.4969,National Historic Site
HONO,Honouliuli National Monument,21.3882,-158.057,National Monument
RIRA,River Raisin National Battlefield Park,41.9129,-83.3762,National Battlefield Park
HOSP,Hot Springs National Park,34.5241,-93.0633,National Park
WEFA,Weir Farm National Historic Site,41.2589,-73.4545,National Historic Site
KALA,Kalaupapa National Historical Park,21.1731,-156.951,National Historical Park
ELMA,El Malpais National Monument,34.8842,-107.995,National Monument
HOVE,Hovenweep National Monument,37.3913,-109.005,National Monument
PAIS,Padre Island National Seashore,27.0538,-97.359,National Seashore
OLYM,Olympic National Park,47.8039,-123.666,National Park
AZRU,Aztec Ruins National Monument,36.8368,-108,National Monument
HUTR,Hubbell Trading Post National Historic Site,35.7073,-109.56,National Historic Site
INDU,Indiana Dunes National Lakeshore,41.6377,-87.0965,National Lakeshore
ISRO,Isle Royale National Park,48.0115,-88.8278,National Park
JAZZ,New Orleans Jazz National Historical Park,29.963,-90.0675,National Historical Park
JECA,Jewel Cave National Monument,43.731,-103.83,National Monument
JEFF,Gateway Arch National Park,38.6233,-90.1804,National Park
JICA,Jimmy Carter National Historic Site,32.0306,-84.4161,National Historic Site
ORCA,Oregon Caves National Monument & Preserve,42.1032,-123.402,National Monument & Preserve
JODA,John Day Fossil Beds National Monument,44.6257,-119.881,National Monument
EDAL,Edgar Allan Poe National Historic Site,39.962,-75.15,National Historic Site
KATM,Katmai National Park & Preserve,58.6224,-155.013,National Park & Preserve
CEBR,Cedar Breaks National Monument,37.6355,-112.845,National Monument
FLNI,Flight 93 National Memorial,40.0606,-78.8946,National Memorial
KEWE,Keweenaw National Historical Park,47.1792,-88.5228,National Historical Park
LACL,Lake Clark National Park & Preserve,60.5741,-153.555,National Park & Preserve
KEFJ,Kenai Fjords National Park,59.818,-150.107,National Park
PORE,Point Reyes National Seashore,38.0551,-122.88,National Seashore
KEMO,Kennesaw Mountain National Battlefield Park,33.9537,-84.5921,National Battlefield Park
MEVE,Mesa Verde National Park,37.2391,-108.462,National Park
KNRI,Knife River Indian Villages National Historic Site,47.354,-101.386,National Historic Site
KOWA,Korean War Veterans Memorial,38.8878,-77.0477,
LABE,Lava Beds National Monument,41.7592,-121.517,National Monument
FOST,Fort Stanwix National Monument,43.2105,-75.4556,National Monument
LEWI,Lewis and Clark National Historical Park,46.2118,-123.964,National Historical Park
LIBI,Little Bighorn Battlefield National Monument,45.5563,-107.418,National Monument
LIHO,Lincoln Home National Historic Site,39.7972,-89.6451,National Historic Site
LINC,Lincoln Memorial,38.8893,-77.0502,
LONG,Longfellow House Washington's Headquarters National Historic Site,42.377,-71.1264,National Historic Site
LOWE,Lowell National Historical Park,42.6455,-71.3159,National Historical Park
ROWI,Roger Williams National Memorial,41.8299,-71.4106,National Memorial
LYBA,LBJ Memorial Grove on the Potomac,38.8786,-77.0515,
WICR,Wilson's Creek National Battlefield,37.1,-93.4099,National Battlefield
LYJO,Lyndon B Johnson National Historical Park,30.252,-98.6069,National Historical Park
MABI,Marsh - Billings - Rockefeller National Historical Park,43.6335,-72.5342,National Historical Park
MACA,Mammoth Cave National Park,37.1976,-86.1309,National Park
MORU,Mount Rushmore National Memorial,43.8804,-103.453,National Memorial
SAMO,Santa Monica Mountains National Recreation Area,34.0978,-118.771,National Recreation Area
SACN,Saint Croix National Scenic Riverway,45.7002,-92.3613,National Scenic Riverway
MANZ,Manzanar National Historic Site,36.7256,-118.155,National Historic Site
GRCA,Grand Canyon National Park,36.1728,-112.684,National Park
MAPR,Manhattan Project National Historical Park,39.7695,-100.843,National Historical Park
MAVA,Martin Van Buren National Historic Site,42.3682,-73.7083,National Historic Site
MIMA,Minute Man National Historical Park,42.4563,-71.3074,National Historical Park
MLKM,"Martin Luther King, Jr. Memorial",38.8862,-77.0442,
MNRR,Missouri National Recreational River,42.7882,-97.5908,National Recreational River
BRCA,Bryce Canyon National Park,37.584,-112.183,National Park
MOCR,Moores Creek National Battlefield,34.4582,-78.1103,National Battlefield
MONO,Monocacy National Battlefield,39.3608,-77.3964,National Battlefield
GWCA,George Washington Carver National Monument,36.9871,-94.3552,National Monument
MORA,Mount Rainier National Park,46.8608,-121.704,National Park
LIRI,Little River Canyon National Preserve,34.4146,-85.6173,National Preserve
MUWO,Muir Woods National Monument,37.8966,-122.581,National Monument
GARI,Gauley River National Recreation Area,38.2061,-81.0042,National Recreation Area
NATC,Natchez National Historical Park,31.547,-91.3904,National Historical Park
NAVA,Navajo National Monument,36.7176,-110.55,National Monument
NEBE,New Bedford Whaling National Historical Park,41.6354,-70.9232,National Historical Park
NEPE,Nez Perce National Historical Park,46.0702,-115.876,National Historical Park
NICO,Nicodemus National Historic Site,39.3917,-99.6168,National Historic Site
NIOB,Niobrara National Scenic River,42.7941,-99.9187,National Scenic River
MIIN,Minidoka National Historic Site,42.8059,-114.445,National Historic Site
NOAT,Noatak National Preserve,68.0103,-159.832,National Preserve
NPSA,National Park of American Samoa,-14.2287,-169.85,
SARI,Salt River Bay National Historical Park and Ecological Preserve,17.7791,-64.7552,National Historical Park and Ecological Preserve
ORPI,Organ Pipe Cactus National Monument,32.0359,-112.857,National Monument
OZAR,Ozark National Scenic Riverways,37.1397,-91.2571,National Scenic Riverways
YOSE,Yosemite National Park,37.8488,-119.557,National Park
BEOL,Bent's Old Fort National Historic Site,38.0398,-103.427,National Historic Site
JOTR,Joshua Tree National Park,33.9142,-115.84,National Park
PAGR,Paterson Great Falls National Historical Park,40.9158,-74.1802,National Historical Park
PECO,Pecos National Historical Park,35.5419,-105.681,National Historical Park
PEFO,Petrified Forest National Park,34.9839,-109.788,National Park
PERI,Pea Ridge National Military Park,36.4544,-94.0347,National Military Park
PETE,Petersburg National Battlefield,37.1911,-77.4759,National Battlefield
WUPA,Wupatki National Monument,35.5574,-111.396,National Monument
PETR,Petroglyph National Monument,35.1392,-106.749,National Monument
PUHO,Pu`uhonua O Honaunau National Historical Park,19.4127,-155.901,National Historical Park
ROMO,Rocky Mountain National Park,40.3557,-105.697,National Park
PAAV,Pennsylvania Avenue,38.8943,-77.0251,
JOMU,John Muir National Historic Site,37.9828,-122.133,National Historic Site
PISP,Pipe Spring National Monument,36.8628,-112.74,National Monument
GETT,Gettysburg National Military Park,39.8156,-77.2325,National Military Park
FLFO,Florissant Fossil Beds National Monument,38.9126,-105.28,National Monument
POCH,Port Chicago Naval Magazine National Memorial,38.0569,-122.03,National Memorial
PRWI,Prince William Forest Park,38.5859,-77.3891,Park
PULL,Pullman National Monument,41.6943,-87.6087,National Monument
RABR,Rainbow Bridge National Monument,37.0779,-110.966,National Monument
BICY,Big Cypress National Preserve,25.9708,-81.0812,National Preserve
RICH,Richmond National Battlefield Park,37.4877,-77.2911,National Battlefield Park
